word,han,ham,hun,hende
agter,1.9348747595448943,0.0,3.287333964907992,4.410638866166473
akkurat,-0.837713962694887,0.0,0.0,0.0
al,-2.586654984838019,-2.597900578201219,-1.6396608875830856,0.0
alle,-4.848450441059065,-2.6624714570860464,0.0,-2.372686334437487
allerede,-2.394604662081843,-2.4058502554450434,0.0,0.0
altså,-4.385893534705688,-2.199914550732669,0.0,0.0
anbefale,0.0,2.2273115799799164,0.0,0.0
anbefaler,2.008982731698616,0.0,0.0,0.0
anbragt,1.971242403715769,3.0586090990206785,0.0,0.0
ane,0.36923946976918665,0.0,0.0,0.0
anede,2.4720176916282584,1.1614891141347974,2.812875985312876,0.0
aner,1.2265374134909737,1.7542883208604607,2.4248459390268136,2.449538551617185
anerkende,-0.1174157930689909,3.2725359952299646,0.0,0.0
anerkender,1.7961485500432677,1.7849029566800676,2.45546057484642,2.4801531874367915
anerkendt,0.9018597533625978,0.8906141599993977,0.0,0.0
anerkendte,2.4254976759933653,2.260101402802907,0.0,0.0
anfører,3.2929982436980887,0.0,0.0,0.0
anføres,3.475319800492043,0.0,0.0,0.0
angav,3.1876377280402624,0.0,0.0,0.0
angik,0.0,3.8695393152370072,0.0,0.0
angive,0.0,4.339542944482743,0.0,0.0
angiver,1.0475715645439914,0.0,0.0,0.0
angreb,-0.2936023612954297,0.79376433400948,0.0,0.0
angrebet,0.5485803984250036,1.6359470937299132,0.0,0.0
angrede,2.3767075118239336,0.0,0.0,0.0
angribe,0.0,2.6167763467416396,0.0,0.0
angriber,2.6643895842757144,2.7709270265688977,2.6305544285189213,4.4470065103373475
angår,0.0,1.5781275228410874,0.0,0.0
anholde,0.0,4.968151603905118,0.0,0.0
anholdt,0.0,3.6463957639227975,0.0,0.0
anklage,-0.48231371618815533,3.3131031802189645,0.0,2.6865975709933694
anklagede,0.0,4.842988460951111,0.0,0.0
anklager,1.5431084957948917,2.764006583724324,2.3359519132225666,2.766109633921103
anklages,2.7021299122585614,0.0,3.3614419370617137,0.0
anklaget,0.0,2.734559382398023,0.0,0.0
ankom,1.5535072030157904,0.0,4.004578697046998,0.0
ankommer,1.9786773822032873,0.0,2.4148458556922296,0.0
anlagt,0.0,2.5702563311067466,0.0,0.0
anmelder,0.0,4.562686495796953,0.0,0.0
annoncere,3.8807849086002077,0.0,0.0,0.0
annoncerer,3.475319800492043,0.0,0.0,0.0
annonceret,3.475319800492043,0.0,0.0,0.0
ansat,0.0,2.0237126247386765,0.0,0.0
ansatte,0.009583897692316533,0.0,0.0,0.0
anse,0.0,3.715388635409749,0.0,4.187495314852264
anser,2.3052485478417886,2.2940029544785885,0.0,2.9892531852353126
anskue,0.0,3.096349427003526,0.0,0.0
anstrengte,3.8807849086002073,0.0,0.0,0.0
ansvarlige,0.0,1.0265697962354268,0.0,0.0
anså,2.1535639605097234,2.7709270265688977,0.0,0.0
ansætte,2.008982731698616,3.096349427003526,0.0,0.0
ansætter,0.0,3.464074207128843,0.0,0.0
antager,2.008982731698616,0.0,3.3614419370617137,0.0
antaget,0.0,3.0222414548498038,0.0,0.0
antog,3.1876377280402624,0.0,0.0,0.0
antyder,1.2658251305640096,0.0,2.212819227818943,0.0
antændte,3.1876377280402624,0.0,0.0,0.0
anvende,0.0,0.0,3.44148464473525,0.0
anvender,2.3767075118239336,0.0,2.812875985312876,0.0
anviste,0.0,4.968151603905118,0.0,0.0
appellerer,0.723784487450094,2.504298363314949,0.0,0.0
arbejde,-0.921869081921516,-2.031726963952826,0.0,0.04981762792378873
arbejdede,2.9021902933898978,2.043646839639494,1.6155921691377366,0.0
arbejder,1.443280497706791,-0.3597245648844639,0.5985151257336694,0.0
arbejdet,0.0,0.0,0.40893839805854304,0.0
arbejdsløs,1.3958782588122072,0.0,0.0,0.0
argumentere,0.0,1.583761340559343,0.0,0.0
argumenterede,2.3767075118239336,0.0,0.0,0.0
argumenterer,2.0616264651840384,0.0,0.0,0.0
arrangere,0.0,2.5702563311067466,0.0,0.0
arrangerede,2.6280219401048397,0.0,0.0,0.0
arrangerer,2.0890254393721523,0.0,0.0,5.257936726553677
arrestere,0.0,4.508619274526677,0.0,0.0
arresteres,2.964494176726052,0.0,0.0,0.0
arresteret,1.7407187451039368,2.5404033679570657,0.0,0.0
arve,0.16113379581951748,1.9416476716843725,0.0,0.0
arver,0.8127319734665903,2.593245849331445,0.0,0.0
arvet,0.7027310782522619,0.0,0.0,3.871642365433786
assistere,0.0,5.661298784465062,0.0,0.0
at,-7.228722102435636,0.0,0.0,0.0
ateist,0.5308808213256027,0.0,0.0,0.0
avancerede,0.0,2.8280854404088465,0.0,0.0
bad,2.7683792977997617,3.0358471069055826,2.1749283541075464,3.378275963039564
badede,3.8807849086002077,0.0,0.0,0.0
bader,2.3767075118239336,0.0,0.0,0.0
bag,-3.128172250890897,-2.040805555585987,0.0,0.0
bager,1.8658818880579426,0.0,0.0,0.0
bagi,0.0,3.096349427003526,0.0,0.0
bakke,0.0,1.096950592997226,0.0,0.0
bakker,0.860360022455845,1.9477267177607547,0.0,4.02927130963737
balancerede,3.8807849086002077,0.0,0.0,0.0
balancerer,1.9348747595448943,0.0,0.0,0.0
bande,1.5781998156061616,0.0,0.0,0.0
bandt,1.6121013672818434,3.392615243146698,0.0,3.682400365795258
bane,0.0,2.8887100622252815,0.0,0.0
banede,3.403860836509898,2.2940029544785885,0.0,0.0
baner,1.962025748610845,1.6630980827958641,0.0,0.0
banet,1.1081961863604264,0.0,0.0,0.0
banke,0.0,2.2166162908631684,0.0,0.0
bankede,2.1913042884925704,0.0,3.138298385747504,0.0
banker,-0.8771063644055478,0.21026033089936183,0.0,0.0
banket,0.0,2.1059507229756487,0.0,0.0
bar,2.7805073406130365,2.7284397527295816,2.8600008701632467,2.7305428029263603
bare,-3.787152952278033,-3.105251365081288,0.0,0.0
baseret,0.0,1.2424581766684646,0.0,0.0
be,0.0,1.566954222242962,0.0,0.0
bearbejde,0.0,3.926697729076956,0.0,0.0
bearbejdede,4.573932089160153,0.0,0.0,0.0
bebrejde,0.0,1.5024157011053907,0.0,0.0
bebrejdede,3.475319800492043,4.850368568248734,0.0,5.5456187990054575
bebrejder,2.596769396600735,3.566353056249261,2.4451512051875586,3.56845610644604
bebrejdet,2.1760368163617825,0.0,0.0,0.0
bebudede,0.0,0.0,0.0,7.455161303889896
bebudet,0.0,0.0,0.0,6.356549015221787
bebyrde,0.0,4.562686495796953,0.0,0.0
bed,-1.2281862862169102,1.24547477020789,1.5105672802660783,0.0
bede,-0.7710085934722257,2.7387443946393506,-0.02468519167944335,2.302592513904974
beder,2.032330095695607,3.0198764557183058,1.9576729454185593,2.898656289883086
bedraget,0.6421064564358271,0.0,0.0,0.0
bedrev,3.1876377280402624,0.0,0.0,0.0
bedt,0.5049053349223418,2.508562762101407,0.0,2.9806694415439208
bedømme,0.0,2.4032022464435805,0.0,0.0
bedømmer,0.9630141765159282,0.0,0.0,0.0
bedømte,4.573932089160153,0.0,0.0,0.0
befalede,2.925273463572771,2.808667354551745,0.0,0.0
befaler,2.5955866643516856,2.9097634714231138,0.0,0.0
befalet,0.0,2.1749435944626003,0.0,0.0
befandt,2.140318733759703,0.0,2.98195231535681,0.0
befinder,1.5119266886563825,0.0,2.2076063576304095,0.0
befri,0.0,1.7900977735571715,0.0,2.4853480043138956
befriede,2.4254976759933653,3.358713691471017,0.0,3.648498814119576
befrier,0.9495911561837878,2.0369578514886975,0.0,0.0
befries,2.2466543835757355,0.0,0.0,4.02927130963737
befriet,-0.2051914039513765,1.2876403994616976,0.0,0.0
begav,2.964494176726052,0.0,0.0,0.0
begik,1.740718745103937,0.0,0.0,0.0
begive,1.3352536369957724,0.0,0.0,0.0
