,word,frequency,han,ham,hun,hende
0,],6,0.0,0.0,0.0,0.0
1,acceptere,330,-1.2312028797563357,1.8020739646038872,0.0,0.0
2,accepterede,46,2.942515270007277,2.5258045685359134,2.7908970785941007,0.0
3,accepterer,107,1.6835603312639882,0.0,3.5468451603930764,0.0
4,adlyde,74,0.0,3.1223249134067865,0.0,0.0
5,adlyder,48,0.0,4.713917465520876,2.7277181769725694,0.0
6,adlød,16,2.433865925663882,3.521232620968792,0.0,0.0
7,adoptere,22,0.0,3.668868619774857,0.0,4.6518009229833615
8,adopteret,28,1.241727578984949,0.0,0.0,0.0
9,adskille,46,0.0,1.7900977735571717,0.0,0.0
10,adskiller,134,0.36923946976918665,2.7093691335694645,0.0,0.0
11,adskilt,141,0.0,1.3986189074237472,0.0,0.0
12,adskilte,82,0.0,1.2545795372008095,0.0,3.3361241290774237
13,advare,78,0.8976314172530765,1.291850931998041,0.0,0.0
14,advarede,27,3.0698546923838785,3.464074207128843,0.0,0.0
15,advarer,144,2.460357541110858,0.6573524785196032,1.6155921691377366,3.4320442509561637
16,advaret,46,0.7027310782522619,2.888710062225281,0.0,0.0
17,ae,5,0.0,0.0,0.0,6.133405463907575
18,afbillede,11,0.0,4.3620158003348015,0.0,0.0
19,afbilledet,26,2.008982731698616,2.4032022464435805,0.0,0.0
20,afbrudt,51,1.6835603312639882,0.0,0.0,0.0
21,afbryder,40,1.5535072030157904,3.7394861869888096,4.004578697046998,0.0
22,afbrød,22,2.1760368163617825,3.956550692226637,3.5284960217248797,5.344948103543307
23,afgav,14,3.321169120664785,0.0,0.0,0.0
24,afgive,22,1.4828896358018369,0.0,0.0,0.0
25,afgjorde,10,2.2713469961661072,0.0,0.0,0.0
26,afgør,89,1.1839080080961228,1.865809595292868,0.0,0.0
27,afgøre,124,-0.2543816481421484,0.0,0.0,0.0
28,afgøres,62,0.0,1.5181640580735298,0.0,0.0
29,afhang,27,0.0,3.0586090990206785,0.0,0.0
30,afhjælpe,30,0.0,2.2601014028029067,0.0,0.0
31,afholde,45,0.0,1.8546362946947428,0.0,0.0
32,afholder,26,2.414447839806781,0.0,0.0,0.0
33,afholdt,39,0.0,3.096349427003526,0.0,0.0
34,afhænger,386,0.0,2.1033566877986023,0.0,0.0
35,afhængige,345,0.0,2.759298988573778,0.0,0.0
36,afhængigt,77,0.0,2.010640543171324,0.0,0.0
37,afklaret,44,0.0,0.0,2.812875985312876,0.0
38,afkræve,8,0.0,4.680469531453336,0.0,0.0
39,aflagde,17,2.433865925663882,0.0,0.0,0.0
40,aflagt,22,2.5370501618991126,0.0,0.0,0.0
41,aflede,5,0.0,0.0,0.0,6.133405463907575
42,afledte,4,3.1876377280402624,0.0,0.0,0.0
43,aflevere,35,0.0,2.7990979035355945,0.0,0.0
