,word,frequency,han,ham,hun,hende
86,anerkender,67,2.46395022786036,2.6624775347598217,0.0,0.0
87,anerkendt,56,0.5461500377369394,0.0,0.0,0.0
88,anerkendte,22,1.4981588522131737,0.0,0.0,0.0
89,anes,28,1.2219054755850156,0.0,0.0,0.0
90,anfører,9,0.0,0.0,4.693105962190472,0.0
91,angiver,20,2.237826048408012,0.0,3.2580214369011515,0.0
92,angivet,5,0.0,4.159119953048578,0.0,0.0
93,angreb,86,0.06741272852244921,0.0,0.0,0.0
94,angrebet,31,1.8483612816462889,0.0,0.0,0.0
95,angribe,18,1.6988295476753248,2.878186107586514,0.0,0.0
96,angribes,8,2.5097597638916542,0.0,0.0,0.0
97,anholde,4,0.0,4.382263504362788,0.0,0.0
98,anholdt,15,1.8166125833317084,3.6891163238028426,0.0,0.0
99,anklage,87,0.0,3.4771460730867583,0.0,0.0
100,anklagede,15,0.0,4.159119953048578,0.0,0.0
101,anklager,81,1.8041900633331511,2.9835466232443397,0.0,3.115102959449792
102,anklages,9,2.39197672823527,0.0,0.0,0.0
103,anklaget,28,0.0,2.4012620354962046,0.0,0.0
104,ankom,25,2.7566198418231798,0.0,0.0,0.0
105,ankommer,26,2.0242519481099532,0.0,0.0,0.0
106,ankommet,14,1.9501439759562311,0.0,0.0,0.0
107,anlagde,8,2.5097597638916542,0.0,0.0,6.123257753002339
108,anmodet,2,0.0,5.075410684922733,0.0,0.0
109,annoncerer,1,4.589201305571491,0.0,0.0,0.0
110,ansat,67,1.0776558667404688,0.0,0.0,0.0
111,ansatte,58,1.6102761503338798,0.0,0.0,0.0
112,anser,53,1.7175216806874771,2.8968782405986664,0.0,0.0
113,anses,15,0.0,3.0605076643804683,3.594493673522364,0.0
114,anså,27,2.6796588006870508,3.1658681800382946,0.0,0.0
115,ansås,4,3.2029069444515987,0.0,0.0,0.0
116,ansætter,8,0.0,0.0,0.0,5.430110572442395
117,antager,21,1.4981588522131737,3.776127700792472,0.0,0.0
118,antaget,11,2.8844532133330643,0.0,0.0,0.0
119,antog,1,0.0,5.768557865482679,0.0,0.0
120,antydede,3,3.4905890169033795,0.0,0.0,0.0
121,antyder,44,2.1913060327731193,0.0,0.0,0.0
122,anvender,27,1.9865116201271056,0.0,0.0,4.213715248117902
123,anviser,7,2.643291156516176,0.0,4.356633725569259,0.0
124,anviste,3,3.4905890169033795,0.0,0.0,0.0
125,appellerede,3,3.4905890169033795,0.0,0.0,0.0
126,appellerer,15,1.8811511044692797,0.0,0.0,0.0
127,arbejde,1474,-1.3390571656327,-1.5459949668414017,-1.0120089576995062,0.0
128,arbejdede,94,2.684963852916745,0.0,3.3686870047886703,0.0
129,arbejder,282,1.5087037653897888,1.5094053289593314,2.0433913381012268,1.8641052164789933
130,arbejdet,365,0.06199266105310995,0.5482020404043537,0.0,0.0
131,argumentere,26,2.0242519481099532,2.5104613274611967,0.0,0.0
132,argumenterede,8,3.2029069444515987,0.0,4.916249513504684,0.0
133,argumenterer,18,2.39197672823527,0.0,3.412172116728409,0.0
134,arrestere,5,0.0,4.159119953048578,0.0,0.0
135,arresteret,23,2.5097597638916542,2.5905040351347326,0.0,0.0
136,arve,117,0.0,1.6659145004458826,0.0,0.0
137,arvede,12,2.104294655783489,0.0,0.0,0.0
138,arver,17,1.7559879615152734,0.0,0.0,0.0
139,arvet,26,2.0242519481099532,0.0,0.0,0.0
140,at,186469,-7.5491758408058915,0.0,0.0,0.0
141,avancerede,9,2.39197672823527,0.0,0.0,0.0
142,bad,616,2.6224068633492554,3.1086162427004997,2.8541448914781244,3.2626454347580096
143,bade,33,0.0,0.0,2.719024936168464,0.0
144,bader,21,2.6432911565161765,0.0,0.0,0.0
145,bag,1704,0.0,-0.2923161329974712,0.0,0.0
146,bage,65,0.4148140356758524,0.0,0.0,0.0
147,bagte,11,0.0,0.0,4.597795782386148,0.0
148,bagved,124,0.0,0.0,0.0,2.66536502766364
149,bakke,64,1.0926937441050093,0.0,0.0,4.01304455265575
150,bakkede,8,2.5097597638916542,0.0,0.0,5.430110572442395
151,bakker,36,0.0,2.1850389270265684,0.0,0.0
152,balancerede,5,2.979763393137389,0.0,0.0,0.0
153,bandt,58,2.6081998367049057,3.7875563966160954,2.2421008640781546,3.4491091035758115
154,bane,193,0.4148140356758524,1.8818526680388223,0.0,2.2365525555584838
155,banede,37,3.463190042715265,2.1576399528384544,0.0,0.0
156,baner,112,2.1468542702022853,2.6330636495535287,0.0,0.0
157,banet,80,1.5934690320174985,2.7728255919286875,0.0,0.0
158,banke,83,0.0,2.007357749789116,0.0,0.0
159,bankede,75,2.050227434513213,0.0,0.0,0.0
160,banker,172,-0.5698539936430396,0.0,0.0,0.0
161,banket,33,0.0,2.272050304016198,0.0,0.0
162,bar,388,2.321359161021317,3.0060194790963988,3.0937183856098747,3.137575815301851
163,bare,9224,-3.1687049027802576,0.0,0.0,0.0
164,be,52,0.6771783001433435,0.0,0.0,0.0
165,bebo,2,0.0,5.075410684922733,0.0,0.0
166,bebrejde,30,0.0,3.0605076643804683,0.0,0.0
167,bebrejdede,5,3.6729105736973344,4.159119953048578,0.0,7.286408562808021
168,bebrejder,43,3.0252257672141467,3.7991172190171714,0.0,3.7483519984286677
169,bebudede,3,0.0,0.0,0.0,6.123257753002339
170,bed,167,-0.7338086735669186,1.831842247464161,0.9795338954861658,2.1865421349838225
171,bede,1654,-1.0662075848004955,2.7757368021361457,0.0,1.4486781156420812
172,beder,1992,2.194751765938741,3.0810061859288096,2.019943020088704,2.0919713267473763
173,bedrager,55,0.0,1.7432061747475291,0.0,3.4842004233870814
174,bedraget,39,1.6187868400017884,0.0,0.0,0.0
175,bedrevet,12,0.0,0.0,0.0,5.02464546433423
176,bedriver,9,2.286616212577444,0.0,0.0,0.0
